"ID","Area","Feature","User Story","Expected Behavior","Entry Point","Key Files","Priority","Status","Test Method","Test Result","Errors/Bugs Found","Severity","Fix Status","Notes"
"API-01","API client, caching, error handling, retry, key resolution","Authenticated API request pipeline","As a signed-in user, I want every data screen to make authenticated calls to YouTube Music's internal API so that I see my personal content (home, library, search, etc.).","request(endpoint:body:ttl:) injects a context payload (clientName WEB_REMIX, clientVersion 1.20231204.01.00, hl from SettingsManager.contentLanguage.apiLanguageCode, gl US, Safari/macOS UA, utcOffsetMinutes from local TimeZone) plus the user dict. performRequest resolves the API key, builds the URL https://music.youtube.com/youtubei/v1/{endpoint}?key={apiKey}&prettyPrint=false, POSTs JSON, and attaches auth headers built in buildAuthHeaders: Cookie header for youtube.com, an Authorization SAPISIDHASH computed as '{unixTimestamp}_{SHA1(timestamp+space+SAPISID+space+origin)}', Origin/Referer/X-Origin set to WebKitManager.origin, Content-Type application/json, X-Goog-AuthUser 0. Network I/O runs off the main actor via nonisolated performNetworkRequest; the parsed JSON object is returned on the main actor. URLSession uses 15s request timeout, 30s resource timeout, gzip/deflate/br Accept-Encoding, max 6 connections per host, shared URLCache with useProtocolCachePolicy.","Any data-loading screen (Home, Library, Search, Artist, Playlist, etc.) triggers requests via the client","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","buildAuthHeaders also logs total/youtube.com cookie counts for debugging. Origin/Referer come from WebKitManager.origin."
"API-02","API client, caching, error handling, retry, key resolution","API key resolution from bootstrap","As a user, I want the app to discover the current YouTube Music internal API key automatically so that API calls keep working without me configuring anything.","YTMusicAPIKeyProvider.apiKey() returns a cached key if present; otherwise it coalesces concurrent callers onto a single in-flight Task (apiKeyTask) so only one bootstrap fetch runs. fetchAPIKey GETs https://music.youtube.com/ with reloadIgnoringLocalCacheData, a 15s timeout, and the WebKitManager userAgent. Non-2xx responses throw YTMusicError.apiError(code:); network failures are wrapped as YTMusicError.networkError; undecodable bodies throw parseError. extractAPIKey scans the HTML with two regex patterns ( ""INNERTUBE_API_KEY"":""..."" and INNERTUBE_API_KEY=""..."" ), returning the first non-empty match; if none match it throws parseError('Bootstrap response did not contain an API key'). On success the key is cached for the process lifetime; on failure the in-flight task is cleared so the next call retries.","First API request after launch (performRequest calls apiKeyProvider.apiKey())","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicAPIKeyProvider.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F016(low): InnerTube API key is cached permanently with no invalidation on auth/API failure","low","Fixed (merged)","Cache is in-memory only (cachedAPIKey); no persistence across launches. Single-flight prevents duplicate bootstrap fetches."
"API-03","API client, caching, error handling, retry, key resolution","Response caching with TTL","As a user, I want recently fetched screens to load instantly from cache so that revisiting Home/Library/Artist/etc. feels fast and avoids redundant network calls.","When a request specifies a non-nil ttl, request() builds a stable cache key (APICache.stableCacheKey: SHA256 over sorted-keys JSON of the full body incl. context, prefixed by endpoint, plus the brandId mixed in via a NUL separator) and returns the cached JSON on a hit (logged as 'Cache hit'). On a miss, it executes the network call and stores the result with the given TTL. Per-endpoint TTLs: home 5 min, library 5 min, search 2 min, playlist 30 min, songMetadata 30 min, artist 1 hour, lyrics 24 hours. APICache.get removes and ignores expired entries. Requests with ttl == nil (history, get_queue all-tracks, search suggestions, mutations, next-endpoint lyrics/radio/song-metadata-step) always hit the network and are never cached.","Automatic on every cached API call","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/APICache.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","If body JSON serialization fails, the key falls back to '{endpoint}:serialization_error_{count}' and an error is logged."
"API-04","API client, caching, error handling, retry, key resolution","Cache LRU eviction and capacity bounds","As a user, I want the in-memory cache to stay bounded so that browsing many screens does not grow memory without limit.","APICache holds at most 50 entries. On set(): at most every 30 seconds it sweeps all expired entries first; then while at/over capacity it evicts the least-recently-used entry (lowest lastAccessed). get() refreshes lastAccessed on a hit for LRU tracking. The cache is pre-allocated to capacity 50 to reduce rehashing. A stats property reports (count, expired) for debugging.","Automatic during cache writes/reads","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/APICache.swift","P2","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","Eviction loop is unconditional once count >= maxEntries, independent of the 30s expired-sweep throttle."
"API-05","API client, caching, error handling, retry, key resolution","Account-isolated cache keys","As a user with multiple (primary + brand) accounts, I want cached data to be scoped per account so that I never see another account's home/library/search results.","Each request derives brandId from brandIdProvider() (empty string for primary, brand ID string otherwise) and folds it into both the cache key (appended after a NUL byte before SHA256) and the request context (user.onBehalfOfUser). This guarantees a brand account and the primary account hash to different cache keys for identical bodies, so a cache hit can never leak cross-account data. The active brandId is logged per request ('primary' vs the id).","Automatic; brandId supplied by AccountService.currentBrandId via AppServices wiring","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/APICache.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/AppServices.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","brandIdProvider is a weak closure to accountService set in AppServices.make()."
"API-06","API client, caching, error handling, retry, key resolution","Retry with exponential backoff","As a user on a flaky connection, I want transient failures to be retried automatically so that brief network hiccups don't break loading.","request() wraps performRequest in RetryPolicy.default (maxAttempts 3, baseDelay 1s, maxDelay 8s). On a thrown error it retries only if the error is retryable; between attempts it sleeps delay = min(1*2^attempt, 8) seconds (1s then 2s). Non-retryable YTMusicErrors are rethrown immediately without delay. After exhausting attempts the last error is thrown. YTMusicError.isRetryable: networkError true; apiError retryable only when code >= 500 (4xx not retried, nil code retried); playbackError and unknown true; authExpired/notAuthenticated/parseError/invalidInput false.","Automatic, wraps every networked API request","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Utilities/RetryPolicy.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/YTMusicError.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F010(low): Cancelled requests are treated as retryable and mis-surfaced as network errors","low","Fixed (merged)","Cache check happens before the retry-wrapped network call, so cached hits never retry."
"API-07","API client, caching, error handling, retry, key resolution","Auth-expiry detection and re-auth trigger","As a user whose session has expired, I want the app to detect 401/403 and prompt me to sign in again so that I can restore access without a confusing failure.","performNetworkRequest maps HTTP 401/403 to .authError. performRequest then calls authService.sessionExpired() (sets state .loggedOut and needsReauth = true) and throws YTMusicError.authExpired. authExpired is non-retryable, so the retry loop stops immediately. MainWindow observes needsReauth and presents the login sheet; on account/state change it also calls APICache.shared.invalidateAll() and URLCache.shared.removeAllCachedResponses(). buildAuthHeaders also throws notAuthenticated when no youtube.com cookies exist and authExpired when the SAPISID cookie is missing/expired, before any network call.","Automatic on any API 401/403, or pre-flight cookie/SAPISID checks","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/Auth/AuthService.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/MainWindow.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","notAuthenticated and authExpired both require re-auth (requiresReauth true) and are non-retryable."
"API-08","API client, caching, error handling, retry, key resolution","User-facing error presentation and retry UI","As a user, I want failed screens to show a clear error with a Try Again button (when retryable) so that I understand what happened and can recover.","ViewModels map thrown errors into LoadingState.error(LoadingError). LoadingError.init(from:) derives title/message/isRetryable from YTMusicError.userFriendlyTitle/userFriendlyMessage/isRetryable; NSURLErrorDomain errors become a generic 'Connection Error / Unable to connect...' retryable message; other errors become 'Error' with the localized description (retryable). ErrorView renders via ContentUnavailableView with an exclamationmark.triangle label, the message text, and a 'Try Again' glassProminent button shown only when isRetryable and a retryAction is provided. User-friendly titles: Authentication Required, Connection Error, Server Error (apiError), Data Error (parseError), Playback Error, Invalid Input, Error.","Error state on any data screen (Home, Explore, Library, Search, Artist, Playlist, Liked, History, New Releases, Top Songs, All Albums, Mood Category)","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/LoadingState.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Views/SharedViews/ErrorView.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/YTMusicError.swift","P0","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","ErrorPresenter.swift is now an empty stub; views use ErrorView directly."
"API-09","API client, caching, error handling, retry, key resolution","Loading and cancellation states","As a user, I want screens to show loading indicators while fetching and to recover cleanly if I navigate away mid-load so that the UI never gets stuck.","ViewModels expose a LoadingState (idle/loading/loaded/loadingMore/error). On initial fetch they set .loading, then .loaded with results or .error on failure. CancellationError is handled distinctly: e.g. HomeViewModel resets to .idle on a cancelled initial load (so a later .task can retry) and leaves state unchanged on a cancelled continuation. In YTMusicClient.getArtist, a CancellationError during the best-effort duration enrichment is rethrown; other enrichment errors are swallowed. LoadingState Equatable compares error cases by message only.",".task / refresh on each data screen","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Models/LoadingState.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/ViewModels/HomeViewModel.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift","P1","Tested — Pass","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass","","","N/A","loadingMore is a separate state used to show inline 'load more' spinners without replacing loaded content."
"API-10","API client, caching, error handling, retry, key resolution","Progressive pagination via continuation tokens","As a user scrolling Home/Explore/Charts/Moods/New Releases/History/Podcasts, I want more sections to load automatically as I reach the end so that I can keep browsing seamlessly.","fetchPaginatedContent stores a per-PaginatedContentType continuation token in continuationTokens after the initial browse. hasMore{X}Sections reflects whether a token exists. fetchContinuation issues a browse continuation request, appends parsed sections, and replaces the token with the next one (or nil when exhausted, ending pagination). If a continuation request throws, the token for that type is cleared (stopping further attempts) and the error is rethrown. getHistory uses ttl nil (never cached) since history changes after every play; podcasts has its own parallel getPodcasts/getPodcastsContinuation path using PodcastParser.","Scroll-to-end / load-more on Home, Explore, Charts, Moods & Genres, New Releases, History, Podcasts","/Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/API/YTMusicClient.swift; /Users/melboonchan/Master/Projects/YTM/kaset/Sources/Kaset/Services/Protocols.swift","P0","Fixed & retested","Static audit + unit/VM tests; live-app smoke; UI tests in CI","Pass (post-fix; 926 unit tests green; UI tests in CI)","F013(low): History continuation pages are cached for 5 minutes despite history being intentionally uncached","low","Fixed (merged)","Generic continuationTokens dictionary keyed by PaginatedContentType; podcasts shares the same dictionary slot."
